cleaned_text_ib,label,lang
berita tvi: kasus pertama yang dikonfirmasi dari seorang portugis dengan coronavirus <links>,1,pt
melanggar: kepala petugas medis kesehatan untuk ontario mengatakan kanada telah mengkonfirmasi dugaan kasus positif pertama dari virus corona baru.<links>,1,en
"dengan kasus yang dikonfirmasi di 12 negara, virus corona menular sebelum gejala muncul <links>",1,pt
<hashtag> melaporkan kasus virus corona pertamanya. menteri kesehatan victoria australia mengumumkan kasus baru <hashtag> telah ditemukan. berasal dari <hashtag> wuhan di cina untuk pertama kalinya <hashtag> corona <links>,1,th
"dua kasus virus corona yang dikonfirmasi di prancis, dikarantina di paris dan bordeaux. <links>",1,ko
apa penyebab gelombang kedua infeksi virus corona di eropa? <user> menunjukkan apakah risiko ini juga ada di brasil: <links> <hashtag>,1,pt
kami melaporkan kasus pertama penyebaran virus corona dari orang ke orang <links> <links>,1,en
portugal - kasus pertama orang portugis dengan coronavirus dikonfirmasi <links>,1,pt
finlandia mengkonfirmasi kasus pertama virus corona <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <links>,1,es
"<hashtag> februari pihak berwenang portugis telah mengkonfirmasi hari minggu ini kasus pertama seorang warga negara yang terinfeksi virus corona, seorang pria berusia 41 tahun yang bekerja sebagai anggota awak di kapal pesiar putri berlian, yang ditambatkan di selatan tokyo. <hashtag> <hashtag> <links>",1,es
"baru: kasus baru virus corona yang mematikan telah dikonfirmasi di as, menjadikan total infeksi menjadi tiga karena situasi di cina, tempat asal bug, semakin mengerikan <links>",1,en
"<hashtag> mengkonfirmasi kematian virus corona pertamanya, seorang pria berusia 78 tahun<links>",1,es
"pihak berwenang portugis telah mengkonfirmasi hari minggu ini kasus pertama seorang warga negara yang terinfeksi virus corona, seorang pria berusia 41 tahun yang bekerja sebagai anggota awak di kapal pesiar diamond princess, yang ditambatkan di selatan tokyo<links>",1,es
"prancis mengkonfirmasi pada hari jumat dua kasus pertama virus corona wuhan, dengan satu pasien dirawat di rumah sakit di paris dan yang lainnya di kota barat daya... <links>",1,en
"kasus coronavirus orang-ke-orang pertama yang dilaporkan di kami, kata cdc. <links>",1,en
kasus pertama <hashtag> tercatat di entitas yang diduduki <hashtag> <links>,1,ar
<hashtag> dan <hashtag> mengumumkan deteksi infeksi pertama <hashtag> <links> <hashtag>,1,ar
mengkonfirmasi kasus pertama seorang portugis yang terinfeksi virus corona. morning mail: <links>,1,pt
"kementerian kesehatan mengkonfirmasi selasa (28) ini kasus suspek pertama virus corona baru china, sementara disebut 2019-ncov, di kota belo horizonte, minas gerais<links>",1,pt
virus corona dikonfirmasi di brazil <hashtag> <links>,1,pt
"sebagai hasil dari penyelidikan, sebagian besar kasus awal virus corona baru dikonfirmasi di sini. <links>",1,ko
"kasus baru virus corona yang mematikan telah dikonfirmasi di as, menjadikan total infeksi menjadi tiga karena situasi di cina, tempat virus itu berasal, semakin mengerikan. <links>",1,en
"kasus baru virus corona yang mematikan telah dikonfirmasi di as, menjadikan total infeksi menjadi tiga karena situasi di cina, tempat virus itu berasal, semakin mengerikan. lebih dari 2.000 orang telah terinfeksi secara global, sebagian besar di cina. <links>",1,en
"yang pertama di australia telah tiba, terkonfirmasi <hashtag> <links>",1,th
terbaru tentang <hashtag> seluruh dunia 7.186 kasus yang dikonfirmasi 169 kematian kasus pertama di finlandia 4 kasus pertama di timur tengah(uae) kasus baru di perancis dan singapura <links>,1,en
coronavirus: mengapa sangat berbahaya bagi dokter <links>,1,uk
coronavirus - edisi ukraina <links>,1,und
mata rantai virus corona sudah menjadi mata rantai di banyak kota up barat.<hashtag> <hashtag> <links>,1,hi
"<hashtag> <user> masalah utama virus corona adalah sangat menular dan membuatnya berbahaya, karena memiliki tingkat kematian yang luar biasa; kita harus berhati-hati dan bijaksana : jorge javier romero (<user>  <links> <links>",1,es
"asal, penularan, dan terapi klinis pada wabah penyakit coronavirus 2019 (covid-19)  pembaruan status <links>",1,en
coronavirus: bagaimana dunia akan berubah (episode akhir) <links>,1,bn
coronavirus: spesialis penyakit menular dari chu de nmes yang didiagnosis sebagai pembawa <links>,1,fr
coronavirus di belanda: 884 pasien baru dan 93 kematian per hari<links> <links>,1,uk
faq pembaruan virus corona: <links> <links>,1,cy
coronavirus di spanyol: lebih dari 100 ribu terinfeksi dan kematian maksimum baru <links> <links>,1,uk
"coronavirus di italia: bagaimana memerangi ""binatang tidak dikenal"" mengubah orang <links>",1,uk
anti-rekor spanyol dan kematian baru di ukraina: tentang virus corona dalam sehari. rilis berita <links>,1,uk
coronavirus di siprus: jam malam dan satu pintu keluar per hari<links> <links>,1,uk
yang utama adalah tentang virus corona. 30 maret. <links>,1,uk
coronavirus: bagaimana cara menghindari infeksi dan apa yang harus dilakukan jika gejalanya muncul? <links>,1,ne
kasus lain virus corona terungkap di distrik <links> <links>,1,pa
coronavirus di italia: kematian telah meningkat beberapa kali <links>,1,uk
wanita tetap diisolasi karena menjadi kasus dalam penyelidikan <hashtag> di ica.<links>,1,es
yang utama adalah tentang virus corona. 1 april <links>,1,uk
di sini seorang warga moskow mengajukan pertanyaan menarik tentang virus corona<links>,1,uk
virus corona menyebar lebih cepat di spanyol daripada di italia - el pais <links>,1,uk
"distrik visakhapatnam, padmanabham mandal, desa revidi venkatapuram, empat keluarga yang sama terinfeksi virus corona. ayah, ibu, dan saudara perempuannya terinfeksi virus corona dari seorang pemuda yang berasal dari london! <hashtag> <links>",1,te
"coronavirus di baltik: pasien terbanyak di estonia, tidak ada kematian di latvia<links> <links>",1,uk
keadaan virus corona selandia baru saat ini <links> <links>,1,ko
(virus corona) sekarat-<links> <hashtag> <links>,1,ko
<hashtag> <hashtag> cognac dan bisnis di gironde menggunakan gel hidroalkohol <hashtag> <hashtag> <links>,1,fr
coronavirus di <hashtag> apa yang diketahui tentang dua kasus infeksi baru <links>,1,uk
coronavirus terdeteksi pada seorang gadis berusia satu tahun dari kyiv <links>,1,uk
kepala dewan regional zaporizhia mengonfirmasi virus corona - <links> <links>,1,uk
italia <hashtag> <hashtag> <links> <links>,1,en
coronavirus di kyiv: pengarahan oleh walikota vitaly klychka - video <links>,1,uk
sebuah video lama muslim bohra mempraktikkan kebiasaan menjilati peralatan untuk tidak membuang sisa makanan telah dibagikan secara salah ketika orang-orang di nizamuddin menyebarkan infeksi virus corona. <hashtag> <user> <links>,1,en
sebuah video viral dengan klaim palsu bahwa anggota komunitas muslim menjilat peralatan makan untuk menyebarkan virus corona. video lama dan menunjukkan kebiasaan yang diikuti oleh muslim bohra di mana mereka menjilat sisa makanan untuk menghindari pemborosan. <hashtag> <user>,1,en
bagaimana vaksinasi dan coronavirus terkait - ahli epidemiologi dari <hashtag> membuat pernyataan yang tidak terduga <links>,1,uk
bagaimana virus corona berkembang pada manusia dan bagaimana gejala berubah selama perjalanan penyakit: infografis<links> <links>,1,uk
false: foto 'pasien virus corona di italia' di jalanan <links> melalui <user>,1,en
bagaimana virus corona ditularkan dan apa yang dianggap sebagai kontak dekat dengan orang yang terinfeksi? <links> <links>,1,uk
inilah yang dilakukan virus corona pada tubuh manusia <links> <links>,1,en
coronavirus di <hashtag> seorang wanita ukraina dari chicago berbicara tentang situasi di kota - inklusi - video <links>,1,uk
lihat bagaimana virus corona mempengaruhi paru-paru manusia: <links>,1,uk
kepala zaporizhia oda telah mengkonfirmasi virus corona. lihat lebih banyak video di situs web <links> <hashtag> # # # # <links>,1,uk
poster coronavirus gaya vintage yang dibuat dengan desain kayu sentuh... <links>,1,ko
"kebohongan pemerintah ortega dalam ""buku putih"" tentang covid-19 di nikaragua: tidak sepatah kata pun tentang bagaimana mereka menyebarkan virus, tes, penguburan ekspres, dan penularan komunitas lokal <links>",0,es
"di republik ceko, lonjakan tajam dalam insiden virus corona tercatat <links>",0,uk
coronavirus di ukraina: 260 kasus baru terdeteksi dalam sehari <links>,0,uk
"pada 28 februari, seorang chilango adalah orang pertama di meksiko yang dinyatakan positif covid-19. sehari sebelumnya, dia terbang dari italia. kami membuat akun interaktif ini tentang apa yang telah terjadi sejak saat itu: <links> <links>",0,es
109 kasus baru virus corona dikonfirmasi di ukraina pada siang hari: jumlah kematian meningkat <links> # # # <hashtag>,0,uk
komunitas <hashtag> di mana kasus virus corona telah terdaftar di provinsi panama dan panama barat. detailnya di <links> <hashtag> <links>,0,es
<hashtag> mengonfirmasi lebih dari 26.000 kasus dan kematian akibat <hashtag> pada hari terakhir <links>,0,es
"[<hashtag> delcy rodrguez menunjukkan bahwa infeksi baru senin ini adalah: delapan dari ekuador masuk melalui tachira, lima dari peru kembali pada penerbangan 8 mei <links>",0,es
"para peneliti dan ilmuwan dari brazil mengatakan bahwa ada underreporting, tapi siapa yang benar adalah <user> yang hanya ingin melindungi mandat ayah dan berpikir ada overnotification. dan rombongan bertepuk tangan. brasil benar-benar kacau.<links>",0,pt
coronavirus: bisakah anjing membantu mendeteksi <hashtag> <links>,0,ne
"laboratorium pusat provinsi melaporkan bahwa hari ini tidak ada kasus baru <hashtag> atau kematian tercatat di provinsi <hashtag> sejauh ini, ada total 460 kasus  <links> <links>",0,es
<user> tiba di new york untuk membantu rumah sakit yang kewalahan dengan pasien <hashtag> kapal tidak akan melihat pasien <hashtag> tetapi akan mengurangi tekanan pada rumah sakit lain. rumah sakit sementara juga berada di <user> dan taman pusat. lebih lanjut: <links> <links>,0,en
"coronavirus terdeteksi pada penduduk daerah kumuh india terbesar di asia, mumbai <links>",0,uk
"maksudku, dia sudah berjalan-jalan di sana selama berminggu-minggu sekarang. berkat 14-f kami mendorongnya untuk menyebar. mereka mendeteksi di <hashtag> kasus pertama varian <hashtag> afrika selatan. <user> <user> <links>",0,es
kasus baru covid-19 telah dilaporkan di dalam toronto eaton center. <links>,0,en
kerabat wakil rakyat shahov <links> <links> didiagnosis dengan virus corona di wilayah kyiv,0,uk
kasus pertama varian covid-19 afrika selatan terdeteksi di catalonia. <links>,0,es
"kediktatoran tidak pernah memikul tanggung jawab mereka. yang dari sini (menurut mereka) berasal dari luar negeri; sekarang, mereka mengekspor ke kuba, yang mengkonfirmasi kasus kedua covid-19 dari nikaragua melalui <user> <links>, kerahasiaan berlanjut.",0,es
kami sekarang memiliki nomor kasus covid-19 kota demi kota untuk county tepi sungai barat. county ini hingga 185 kasus dikonfirmasi w/8 kematian.juga i- seorang dokter tepi sungai tes positif; pesanan baru membatasi penyewaan jangka pendek selama krisis coronavirus.story: <links> <links>,0,en
1823 kasus dikonfirmasi <hashtag> dan 48 orang meninggal di <hashtag> <hashtag> <hashtag> <hashtag> <links> <user> <hashtag> <links>,0,es
"tinjau informasi paling relevan tentang <hashtag> meksiko: ada 12 orang meninggal dan 717 terinfeksi, 132 lebih banyak dari kemarin <links> cdmx: personel rumah duka dilatih untuk menangani jenazah oleh <hashtag> <links> <links>",0,es
kasus positif covid-19 melampaui 100 di negara navajo - <links> <hashtag> <hashtag> <hashtag> <hashtag> <links>,0,en
bayi pertama terinfeksi covid-19 di venezuela <links>,0,es
kasus covid-19 <hashtag> pertama yang dikonfirmasi di cina 'patient zero' ditelusuri kembali ke 17 november 2019<links> melalui <user> &amp; <user>,0,en
coronavirus di dataran: sembilan kasus penyakit dan kematian pertama telah dikonfirmasi<links>,0,uk
"informasi operasional penyebaran infeksi virus corona covid-19 per pukul 10.00 wib tanggal 28 maret 2020, hingga pukul 10.00 wib tanggal 28 maret terdapat 311 kasus positif covid-19 yang dikonfirmasi laboratorium di ukraina, di antaranya 8 fatal, 5 sadar...<links> <hashtag> < url>",0,uk
konfirmasi pasien pertama dengan coronavirus di tacna<links>,0,es
kita menyalip cina sebagai negara dengan kasus covid-19 terbanyak yang tercatat<hashtag> <hashtag> <hashtag> <links>,0,en
"virus corona di india: kasus covid-19 mencapai angka 1000, 25 kematian sejauh ini; periksa jumlah negara bagian<hashtag> <hashtag> <hashtag> <links>",0,en
gambar pertama penyebaran virus covid-19 di india dirilis...<links> <links>,0,ta
"<hashtag> pemerintah <hashtag> melaporkan awal hari ini kasus pertama pasien dengan <hashtag> yang telah meninggal, seorang pria berusia 58 tahun.<links>",0,es
pandemi coronavirus: infografik penyebaran covid-19 di negara-negara dunia per 27 maret# # # # <hashtag>,0,uk
"dan boom secara resmi amerika serikat adalah negara dengan kasus covid-19 terbanyak di dunia dan ini baru permulaan, <hashtag> <hashtag> <links>",0,es
"kementerian kesehatan dan perlindungan masyarakat: memantau 102 kasus baru virus corona baru (covid-19), yang diidentifikasi dengan memeriksa mereka yang kontak dengan infeksi yang diumumkan sebelumnya, dan yang tidak mematuhi langkah-langkah pencegahan dan jarak fisik, di samping kasus yang berkaitan dengan perjalanan ke luar negeri. >",0,ar
"[video terpopuler] beginilah penyebaran kasus terkonfirmasi positif covid-19 di luar china hingga 23 maret 2020. italia masih menjadi negara dengan kasus terbanyak, disusul oleh amerika serikat dan spanyol. informasi terbaru pandemi corona: <links> <links>",0,in
".<user> hari ini mengonfirmasi 20 kasus baru penyakit coronavirus baru 2019 (<hashtag> telah dilaporkan secara resmi ke negara bagian, menjadikan total kasus positif berjumlah 96. lihat kabupaten dan pembaruan tambahan di tautan:<links> <links>",0,en
virus corona. bagaimana perancis menghitung korban covid-19 <links>,0,fr
atarrabiakoreos<hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <links>,0,eu
kematian ketiga akibat virus corona di wilayah ivano-frankivsk: almarhum dipastikan mengidap covid-19 <links> # # # <hashtag>,0,uk
"pasien baru ini dirawat beberapa jam setelah yang pertama, meskipun tidak ada hubungan antara keduanya yang telah dikonfirmasi <links> <hashtag>",1,es
"kasus baru coronavirus di spanyol: setelah istri dokter italia di tenerife, seorang wanita di barcelona dengan betapa pembohong pemerintah ini, pasti masih banyak lagi jika kita diselamatkan itu karena bagian medis, karena politik adalah bencana <links> <links>",1,es
"menteri kesehatan kolombia: ""kementerian kesehatan dan perlindungan sosial mengkonfirmasi kasus pertama covid-19 di wilayah nasional, setelah tes dilakukan pada pasien berusia 19 tahun"" <links>",1,es
"menteri australia mengiklankan mengambil vaksin terhadap covid-19 yang didistribusikan oleh china, tetapi perhatikan bahwa bahkan jubah jarum suntik tidak dilepas, jika dia tidak mengambilnya mengapa saya mengambilnya? <links>",1,pt
"menteri australia mengiklankan pengambilan vaksin covid-19 yang didistribusikan oleh cina, namun perhatikan bahwa bahkan tutup jarum suntik tidak dilepas, jika dia tidak mengambilnya mengapa saya mengambilnya? ini layak disayangkan. <links>",1,pt
"menteri australia mengiklankan pengambilan vaksin melawan covid, didistribusikan oleh china, tetapi dia tidak mengambilnya, perhatikan bahwa bahkan pelindung jarum suntik tidak dilepas. jika dia tidak mengambilnya, mengapa saya mengambilnya. .? <links>",1,pt
menteri australia mengiklankan mengambil vaksin wabah cina yang didistribusikan oleh cina tetapi tidak benar-benar mengambilnya. perhatikan bahwa tutup pelindung jarum suntik belum dilepas. apakah anda akan berani dalam hal ini? <links>,1,pt
virus corona bermutasi lebih lambat daripada flu  yang berarti vaksin kemungkinan akan efektif dalam jangka panjang - orang dalam bisnis*ht <user>,1,en
"peneliti telah beralih ke sintesis protein, genetika, dan virus hibrida untuk mengembangkan vaksin <hashtag> kemungkinan campuran dari pendekatan ini akan digunakan untuk melawan virus.penjelas oleh seorang profesor. <links>",1,en
melalui <user> - kapan vaksin covid-19 akan siap? <hashtag> <user> adalah salah satu dari beberapa institusi di seluruh dunia yang telah diberi lampu hijau untuk mulai mengerjakan vaksin. <links>,1,en
"presiden donald trump mengatakan kepada eksekutif farmasi dan pejabat kesehatan masyarakat dalam pertemuan gedung putih pada hari senin bahwa dia ingin vaksin untuk virus corona covid-19 siap sebelum pemilihan november. sebagai catatan, itu tidak mungkin. <links>",1,en
jika anda bertanya-tanya mengapa vaksin virus corona tidak akan siap hingga musim panas mendatang (paling cepat!) saya menyusun panduan untuk <user> tentang sains dan ekonomi pembuatan vaksin. <links>,1,en
kapan vaksin virus corona akan siap? <links>,1,en
apakah perokok lebih berisiko tertular virus corona? <links>,1,bn
"tingkat kematian akibat virus corona lebih rendah dari yang dilaporkan sebelumnya, kata penelitian, tetapi masih lebih mematikan daripada flu musiman<links>",1,en
"itu bukan ""vaksin"" juga tidak ""menyelamatkan"" 1.500 orang. itu adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. orang melakukan segalanya dengan sekali klik. belum ada efektivitas yang dikonfirmasi. <links>",1,pt
"obat kuba telah diproduksi sejak 25 januari di chang-heber, pabrik cina kuba, yang terletak di kota changchun, provinsi jilin.cuba mengumumkan bahwa mereka memproduksi vaksin melawan virus corona yang sedang digunakan di cina dan telah menyembuhkan 1.500 orang <links>",1,pt
harapan untuk dunia datang dari kuba! <links>,1,pt
<hashtag> <links>,1,qme
"pengobatan anti-virus yang berasal dari kuba: tentunya anda, sapi bolsominion, tidak perlu menggunakannya, karena anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! tinggalkan hanya kami kidal dengan perawatan ini!!! <links>",1,pt
<hashtag> oxford university memulai uji coba vaksin pada manusia <links>,1,es
ilmu pengetahuan melaporkan bahwa salah satu dari banyak vaksin yang sedang dikembangkan untuk melawan virus corona baru mampu mengimunisasi monyet. lihat di video!<links>,1,pt
"di inggris, mereka mengembangkan vaksin lain untuk virus corona yang sudah diuji pada manusia. oxford university yakin memiliki peluang sukses 80% <links>",1,es
para peneliti di swiss mengatakan mereka akan mendapatkan vaksin virus corona pada akhir tahun. <hashtag> <hashtag> <links>,1,pt
"vaksin virus corona berhasil diuji pada monyet, kata lab china<links>",1,pt
vaksin coronavirus eksperimental mulai diuji pada manusia di inggris <links>,1,es
<hashtag> ilmuwan cina berpartisipasi dalam penelitian tentang kemungkinan vaksin yang dapat mengakhiri pandemi virus corona dan bahkan mencegahnya di masa depan <hashtag> <links>,1,es
"obat tersebut mengganggu produksi materi genetik virus, mencegah virus berkembang biak, dan telah terbukti efektif pada pasien parah dengan virus corona baru. <links>",1,pt
"boulos mengiklankan 'vaksin kuba' menurut konsensus para ilmuwan sejauh ini, masih belum ada vaksin yang efektif melawan virus corona baru. apa yang boulos lakukan memiliki nama: tidak bertanggung jawab. ini serius. <hashtag> <links>",1,pt
.<user> mengiklankan 'vaksin kuba'. <links>,1,pt
boulos mengiklankan 'vaksin kuba' <links>,1,pt
vaksin virus corona yang dikembangkan rusia terbukti aman dan efektif dalam tes awal. <hashtag> <hashtag> <links>,1,pt
cara menaklukkan <hashtag> 35 perawatan teratas dalam pengembangan <links> <links>,1,en
cuba mengumumkan bahwa mereka telah memproduksi vaksin untuk melawan virus corona havana. <links> melalui <user> sekarang online,1,pt
amerika meluncurkan vaksin untuk mengobati virus corona <links>,1,ar
mengumumkan kuba yang telah memproduksi vaksin untuk melawan virus corona. <hashtag> <links> melalui <user>,1,pt
"terima kasih obama, tahun itu 2016, para ilmuwan dekat dengan vaksin coronavirus, lalu uangnya mengering. <links> jadi siapa yang membuat america?coronaebolah1n1h5n1 and h7n9oh yeah-obama",1,en
"baru pagi ini, tentang kegagalan mendanai penelitian pencegahan epidemi: sangat tragis bahwa kita tidak akan memiliki vaksin yang siap untuk epidemi ini. secara praktis, kita akan melawan wabah ini dengan satu tangan terikat di belakang kita."" <links> <user> <user>",1,en
"sungguh tragis bahwa kita tidak akan memiliki vaksin yang siap untuk epidemi ini, tulis <user> dalam sambutannya yang dia bagikan kepada nbc news. pada praktiknya, kita akan memerangi wabah ini dengan satu tangan terikat di belakang. ""-<user> <links>",1,en
<links> paten untuk virus corona . dari 2015,1,en
"novel coronavirus, setara dengan sars dan mers? bagaimana cara melindungi diri anda dan keluarga anda?<links>",1,ko
"""kami memiliki pola dalam lanskap penelitian medis kami di mana wabah menyebabkan lonjakan investasi penelitian, dan jika dan ketika wabah itu berkurang, seperti yang selalu terjadi, prioritas lain menggantikannya..dan siklusnya dimulai lagi."" <links>",1,en
apakah anda ingat peringatan konstan dari pandemi terkemuka? paten coronavirus usa (paten # 10.130.701) 23 jul 2015 - institut pirbright <links>,1,it
"kuba mengumumkan produksi vaksin untuk melawan virus corona. bolsomions untuk konsistensi seharusnya tidak mendapatkan vaksin, karena mereka sangat membenci komunisme.<links>",1,pt
vaksin berasal dari revolusi <links>,1,pt
"obat anti-virus <hashtag> interferon alfa 2b rekombinan (ifnrec), sekarang digunakan melawan <hashtag> di <hashtag> dan <hashtag> , sebagai penguat sistem kekebalan - <links> <links>",1,en
vaksin kuba melawan virus corona. presiden kuba miguel daz-canel hari ini menyoroti keberhasilan penggunaan yang telah diberikan pemerintah china kepada interferon alfa 2b' (ifnrec) untuk memerangi virus corona baru 2019.<links>,1,es
kuba mengumumkan bahwa mereka telah membuat vaksin untuk melawan virus corona di havana. <links> melalui <user>,1,es
"""cuba mengumumkan bahwa mereka telah memproduksi vaksin untuk melawan virus corona"" (hak mungkin tidak dapat bertahan) <links>",1,pt
kuba telah mengembangkan vaksin untuk melawan virus corona. bagaimana brazil bolsonaro akan menangani ini setelah mengusir para dokter kuba? _____mengumumkan cuba bahwa mereka telah memproduksi vaksin untuk melawan virus corona di habana.  collarebo <links>,1,pt
