text,translated_text,translated_text_en,label,lang
#Coronavirus : un troisième cas confirmé en France (MàJ) https://t.co/jELSmIupqt https://t.co/Vh3YZOjSzT,#Coronavirus: kasus ketiga yang dikonfirmasi di Prancis (Pembaruan) https://t.co/jELSmIupqt https://t.co/Vh3YZOjSzT,#Coronavirus: a third confirmed case in France (Update) https://t.co/jELSmIupqt https://t.co/Vh3YZOjSzT,misinformation,fr
Itália confirma seus dois primeiros casos do novo coronavírus no país https://t.co/4JZalln6Px,Italia mengonfirmasi dua kasus pertama virus corona baru di negara tersebut https://t.co/4JZalln6Px,Italy confirms its first two cases of the new coronavirus in the country https://t.co/4JZalln6Px,misinformation,pt
CDC confirms first case of coronavirus that spread within US https://t.co/8jl9X0PtIM https://t.co/ZvMUdugvQP,CDC mengkonfirmasi kasus pertama virus corona yang menyebar di AS https://t.co/8jl9X0PtIM https://t.co/ZvMUdugvQP,CDC confirms first case of coronavirus that spread within US https://t.co/8jl9X0PtIM https://t.co/ZvMUdugvQP,misinformation,en
Primer caso de coronavirus en la Argentina https://t.co/BEhDqQQamC,Kasus pertama virus corona di Argentina https://t.co/BEhDqQQamC,First case of coronavirus in Argentina https://t.co/BEhDqQQamC,misinformation,es
Notícia TVI: primeiro caso confirmado de um português com coronavírus https://t.co/xFKbkHp7yH,Berita TVI: kasus pertama yang dikonfirmasi dari seorang Portugis dengan coronavirus https://t.co/xFKbkHp7yH,TVI news: first confirmed case of a Portuguese with coronavirus https://t.co/xFKbkHp7yH,misinformation,pt
"BREAKING: The Chief Medical Officer of Health for Ontario says Canada has confirmed its first presumptive positive case of the new coronavirus.
https://t.co/CJjtrEq3cc","BREAKING: Chief Medical Officer of Health untuk Ontario mengatakan Kanada telah mengkonfirmasi kasus positif dugaan pertama dari virus corona baru.
https://t.co/CJjtrEq3cc","BREAKING: The Chief Medical Officer of Health for Ontario says Canada has confirmed its first presumptive positive case of the new coronavirus.
https://t.co/CJjtrEq3cc",misinformation,en
Portugal - Confirmado primeiro caso de português com coronavírus https://t.co/0HazXHtEBb,Portugal - Kasus pertama orang Portugis dengan coronavirus dikonfirmasi https://t.co/0HazXHtEBb,Portugal - First case of Portuguese with coronavirus confirmed https://t.co/0HazXHtEBb,misinformation,pt
Finlandia confirmó su primer caso de coronavirus #SeVaParaEscandinavia #Incontrolable #AlertaMundial #PánicoEnTodoElPlaneta #FrenenEsteBichoPorDios https://t.co/YtXBAJOe56,Finlandia mengkonfirmasi kasus pertama virus corona #SeVaParaEscandinavia #Uncontrollable #AlertaMundial #PánicoEnTodoElPlaneta #FrenenEsteBichoPorDios https://t.co/YtXBAJOe56,Finland confirmed its first case of coronavirus #SeVaParaEscandinavia #Uncontrollable #AlertaMundial #PánicoEnTodoElPlaneta #FrenenEsteBichoPorDios https://t.co/YtXBAJOe56,misinformation,es
"#23Feb Las autoridades portuguesas han confirmado este domingo el primer caso de un nacional infectado con coronavirus, un hombre de 41 años que trabaja como tripulante en el crucero Diamond Princess, amarrado al sur de Tokio. #TVV #TVVNoticias https://t.co/kDNoDUOSXC","#23Feb Pihak berwenang Portugis telah mengkonfirmasi hari Minggu ini kasus pertama seorang warga negara yang terinfeksi virus corona, seorang pria berusia 41 tahun yang bekerja sebagai anggota kru di kapal pesiar Diamond Princess, yang ditambatkan di selatan Tokyo. #TVV #TVVNoticias https://t.co/kDNoDUOSXC","#23Feb The Portuguese authorities have confirmed this Sunday the first case of a national infected with coronavirus, a 41-year-old man who works as a crew member on the Diamond Princess cruise ship, moored south of Tokyo. #TVV #TVVNoticias https://t.co/kDNoDUOSXC",misinformation,es
"Las autoridades portuguesas han confirmado este domingo el primer caso de un nacional infectado con coronavirus, un hombre de 41 años que trabaja como tripulante en el crucero Diamond Princess, amarrado al sur de Tokio

https://t.co/3mJZGbsY1n","Pihak berwenang Portugis telah mengkonfirmasi Minggu ini kasus pertama seorang warga negara yang terinfeksi virus corona, seorang pria berusia 41 tahun yang bekerja sebagai anggota awak di kapal pesiar Diamond Princess, yang ditambatkan di selatan Tokyo.

https://t.co/3mJZGbsY1n","The Portuguese authorities have confirmed this Sunday the first case of a national infected with coronavirus, a 41-year-old man who works as a crew member on the Diamond Princess cruise ship, moored south of Tokyo.

https://t.co/3mJZGbsY1n",misinformation,es
"Confirmado o primeiro caso de um português infectado com o coronavirus.

O Correio da Manhã: https://t.co/FKAMKgdMo0","Mengkonfirmasi kasus pertama seorang Portugis yang terinfeksi virus corona.

Surat Pagi: https://t.co/FKAMKgdMo0","Confirmed the first case of a Portuguese infected with the coronavirus.

The Morning Mail: https://t.co/FKAMKgdMo0",misinformation,pt
"O Ministério da Saúde confirmou nesta terça-feira (28) o primeiro caso suspeito do novo coronavírus chinês, provisoriamente chamado de 2019-nCoV, na cidade de Belo Horizonte, em Minas Gerais

https://t.co/dlaVgrigyd","Kementerian Kesehatan mengkonfirmasi Selasa (28) ini kasus suspek pertama virus corona baru China, sementara disebut 2019-nCoV, di kota Belo Horizonte, di Minas Gerais.

https://t.co/dlaVgrigyd","The Ministry of Health confirmed this Tuesday (28) the first suspected case of the new Chinese coronavirus, provisionally called 2019-nCoV, in the city of Belo Horizonte, in Minas Gerais.

https://t.co/dlaVgrigyd",misinformation,pt
Corona vírus confirmado no Brasil #coronaravirus https://t.co/bLG3Nqsflm,Virus Corona dikonfirmasi di Brasil #coronaravirus https://t.co/bLG3Nqsflm,Corona virus confirmed in Brazil #coronaravirus https://t.co/bLG3Nqsflm,misinformation,pt
CDC confirms first case of coronavirus that spread within US https://t.co/7gJFtctQkJ https://t.co/3qFpqvm3Js,CDC mengkonfirmasi kasus pertama virus corona yang menyebar di AS https://t.co/7gJFtctQkJ https://t.co/3qFpqvm3Js,CDC confirms first case of coronavirus that spread within US https://t.co/7gJFtctQkJ https://t.co/3qFpqvm3Js,misinformation,en
"Ministra Austrália faz propaganda tomando vacina contra o Covid-19 distribuída pela China, porem observe que nem a capinha da seringa foi retirada, se ela não tomou porque eu tomaria? https://t.co/Rbg5VhW5ZF","Menteri Australia mengiklankan pengambilan vaksin melawan Covid-19 yang didistribusikan oleh China, tetapi perhatikan bahwa bahkan tutup jarum suntik tidak dilepas, jika dia tidak meminumnya mengapa saya mengambilnya? https://t.co/Rbg5VhW5ZF","Minister Australia advertises taking vaccine against Covid-19 distributed by China, but note that not even the syringe cape was removed, if she didn't take it why would I take it? https://t.co/Rbg5VhW5ZF",misinformation,pt
"Ministra da Austrália faz propaganda tomando vacina contra o covid- 19 distribuída pela China, porem observe que nem a capinha da seringa foi retirada, se ela não tomou porque eu tomaria?
Kkkkkkk a China se supera com seus apoiadores cada vez mais. Kkkkkkkk é digno de pena. https://t.co/wH6GzKCmgU","Menteri Australia mengiklankan pengambilan vaksin covid-19 yang didistribusikan oleh China, tetapi perhatikan bahwa bahkan tutup jarum suntik tidak dilepas, jika dia tidak mengambilnya mengapa saya mengambilnya?
Lol China semakin mengungguli dirinya dengan para pendukungnya. Itu layak untuk disayangkan. https://t.co/wH6GzKCmgU","Minister of Australia advertises taking vaccine against covid-19 distributed by China, but note that not even the syringe cape was removed, if she didn't take it why would I take it?
Lol China outdoes itself with its supporters more and more. It's worthy of pity. https://t.co/wH6GzKCmgU",misinformation,pt
"Ministra da Austrália faz propaganda tomando a vacina contra a covid, distribuída pela China, porém não tomou, observem que nem a capinha protetora da seringa foi retirado.
Se ela não tomou, por que eu tomaria..? https://t.co/0VrcPMVUcP","Menteri Australia mengiklankan mengambil vaksin melawan covid, didistribusikan oleh China, tetapi tidak mengambilnya, perhatikan bahwa bahkan pelindung jarum suntik tidak dilepas.
Jika dia tidak, mengapa saya..? https://t.co/0VrcPMVUcP","Minister of Australia advertises taking the vaccine against covid, distributed by China, but did not take it, note that not even the protective cape of the syringe was removed.
If she didn't, why would I..? https://t.co/0VrcPMVUcP",misinformation,pt
"Não é “vacina” nem “salvou” 1.500 pessoas. É um antiviral que já tem um tempo e tá sendo testado, assim  como várias outras medicações, pois atiram pra todos os lados nessas situações. Povo faz tudo pelo clique. Sem eficácia confirmada ainda.  https://t.co/WOopbiV1DI","Ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. Ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. Orang-orang melakukan segalanya dengan sekali klik. Belum ada efektivitas yang dikonfirmasi. https://t.co/WOopbiV1DI","It is not “vaccine” nor “saved” 1,500 people. It is an antiviral that has been around for a while and is being tested, as well as several other medications, as they shoot everywhere in these situations. People do everything by the click. No confirmed effectiveness yet. https://t.co/WOopbiV1DI",misinformation,pt
"O medicamento cubano é produzido desde 25 de janeiro na fábrica chinesa Chang-Heber, cubana, localizada na cidade de Changchun, província de Jilin.

Cuba anuncia que produz vacina contra o coronavírus que esta sendo usado na China e já curou 1.500 pessoas https://t.co/U4AsxAD2zs","Obat Kuba telah diproduksi sejak 25 Januari di pabrik China Chang-Heber, di Kuba, yang terletak di kota Changchun, provinsi Jilin.

Kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di China dan telah menyembuhkan 1.500 orang https://t.co/U4AsxAD2zs","The Cuban drug has been produced since January 25 at the Chinese factory Chang-Heber, in Cuba, located in Changchun city, Jilin province.

Cuba announces that it produces a vaccine against the coronavirus that is being used in China and has already cured 1,500 people https://t.co/U4AsxAD2zs",misinformation,pt
"Vem de Cuba a esperança para o mundo! 
https://t.co/luS1KJOViL","Harapan untuk dunia datang dari Kuba!
https://t.co/luS1KJOViL","Hope for the world comes from Cuba!
https://t.co/luS1KJOViL",misinformation,pt
#vaipracuba  https://t.co/Vv5QKBfDPA,#vaipracuba https://t.co/Vv5QKBfDPA,#vaipracuba  https://t.co/Vv5QKBfDPA,misinformation,qme
"Tratamento anti-viral vindo de Cuba: certamente você, gado bolsominion, não precisa utilizar, pois financia o comunismo por lá e seria uma derrota para as ruas convicções!!! Deixe somente nós, os esquerdelícias, com esse tratamento!!! https://t.co/WeyNRxDIBE","Pengobatan anti-virus yang datang dari Kuba: tentunya Anda, sapi bolsominion, tidak perlu menggunakannya, karena Anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! Tinggalkan hanya kami kidal dengan perawatan ini!!! https://t.co/WeyNRxDIBE","Anti-viral treatment coming from Cuba: surely you, bolsominion cattle, don't need to use it, because you finance communism there and it would be a defeat for the streets convictions!!! Leave only us lefties with this treatment!!! https://t.co/WeyNRxDIBE",misinformation,pt
"Não é “vacina” nem “salvou” 1.500 pessoas. É um antiviral que já tem um tempo e tá sendo testado, assim  como várias outras medicações, pois atiram pra todos os lados nessas situações. Povo faz tudo pelo clique. Sem eficácia confirmada ainda.  https://t.co/WOopbiV1DI","Ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. Ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. Orang-orang melakukan segalanya dengan sekali klik. Belum ada efektivitas yang dikonfirmasi. https://t.co/WOopbiV1DI","It is not “vaccine” nor “saved” 1,500 people. It is an antiviral that has been around for a while and is being tested, as well as several other medications, as they shoot everywhere in these situations. People do everything by the click. No confirmed effectiveness yet. https://t.co/WOopbiV1DI",misinformation,pt
"O medicamento cubano é produzido desde 25 de janeiro na fábrica chinesa Chang-Heber, cubana, localizada na cidade de Changchun, província de Jilin.

Cuba anuncia que produz vacina contra o coronavírus que esta sendo usado na China e já curou 1.500 pessoas https://t.co/U4AsxAD2zs","Obat Kuba telah diproduksi sejak 25 Januari di pabrik China Chang-Heber, di Kuba, yang terletak di kota Changchun, provinsi Jilin.

Kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di China dan telah menyembuhkan 1.500 orang https://t.co/U4AsxAD2zs","The Cuban drug has been produced since January 25 at the Chinese factory Chang-Heber, in Cuba, located in Changchun city, Jilin province.

Cuba announces that it produces a vaccine against the coronavirus that is being used in China and has already cured 1,500 people https://t.co/U4AsxAD2zs",misinformation,pt
"Vem de Cuba a esperança para o mundo! 
https://t.co/luS1KJOViL","Harapan untuk dunia datang dari Kuba!
https://t.co/luS1KJOViL","Hope for the world comes from Cuba!
https://t.co/luS1KJOViL",misinformation,pt
#vaipracuba  https://t.co/Vv5QKBfDPA,#vaipracuba https://t.co/Vv5QKBfDPA,#vaipracuba  https://t.co/Vv5QKBfDPA,misinformation,qme
"Tratamento anti-viral vindo de Cuba: certamente você, gado bolsominion, não precisa utilizar, pois financia o comunismo por lá e seria uma derrota para as ruas convicções!!! Deixe somente nós, os esquerdelícias, com esse tratamento!!! https://t.co/WeyNRxDIBE","Pengobatan anti-virus yang datang dari Kuba: tentunya Anda, sapi bolsominion, tidak perlu menggunakannya, karena Anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! Tinggalkan hanya kami kidal dengan perawatan ini!!! https://t.co/WeyNRxDIBE","Anti-viral treatment coming from Cuba: surely you, bolsominion cattle, don't need to use it, because you finance communism there and it would be a defeat for the streets convictions!!! Leave only us lefties with this treatment!!! https://t.co/WeyNRxDIBE",misinformation,pt
"Boulos faz propaganda de 'vacina cubana' 

Segundo o consenso dos cientistas até o momento, ainda não há vacina eficaz contra o novo coronavírus. 

O que Boulos está fazendo tem um nome: irresponsabilidade. E grave.

 #Covid_19

https://t.co/CpBTvMxrl0 https://t.co/a7uEbRjJQN","Boulos mengiklankan 'vaksin Kuba'

Menurut konsensus para ilmuwan sejauh ini, masih belum ada vaksin yang efektif melawan virus corona baru.

Apa yang dilakukan Boulos memiliki nama: tidak bertanggung jawab. Ini serius.

 #Covid19

https://t.co/CpBTvMxrl0 https://t.co/a7uEbRjJQN","Boulos advertises 'Cuban vaccine'

According to the consensus of scientists so far, there is still no effective vaccine against the new coronavirus.

What Boulos is doing has a name: irresponsibility. It's serious.

 #Covid-19

https://t.co/CpBTvMxrl0 https://t.co/a7uEbRjJQN",misinformation,pt
.@GuilhermeBoulos faz propaganda de 'vacina cubana'. https://t.co/AZbnTwqElF,.@GuilhermeBoulos mengiklankan 'vaksin Kuba'. https://t.co/AZbnTwqElF,.@GuilhermeBoulos advertises 'Cuban vaccine'. https://t.co/AZbnTwqElF,misinformation,pt
Boulos faz propaganda de ‘vacina cubana’ https://t.co/Cqq3aiFL2M,Boulos mengiklankan 'vaksin Kuba' https://t.co/Cqq3aiFL2M,Boulos advertises 'Cuban vaccine' https://t.co/Cqq3aiFL2M,misinformation,pt
Boulos faz propaganda de ‘vacina cubana’ https://t.co/pds1PngkNV,Boulos mengiklankan 'vaksin Kuba' https://t.co/pds1PngkNV,Boulos advertises 'Cuban vaccine' https://t.co/pds1PngkNV,misinformation,pt
"Anuncia Cuba que já fabricou a vacina contra o coronavirus . #CubaVsBloqueo
#EraLulaNo1Turno https://t.co/fVdKrebVV1 via @colarebo1","Kuba mengumumkan bahwa mereka telah memproduksi vaksin untuk melawan virus corona. #KubaVsBloqueo
#EraLulaNo1Turno https://t.co/fVdKrebVV1 via @colarebo1","Cuba announces that it has already manufactured the vaccine against the coronavirus. #CubaVsBloqueo
#EraLulaNo1Turno https://t.co/fVdKrebVV1 via @colarebo1",misinformation,pt
"Não é “vacina” nem “salvou” 1.500 pessoas. É um antiviral que já tem um tempo e tá sendo testado, assim  como várias outras medicações, pois atiram pra todos os lados nessas situações. Povo faz tudo pelo clique. Sem eficácia confirmada ainda.  https://t.co/WOopbiV1DI","Ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. Ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. Orang-orang melakukan segalanya dengan sekali klik. Belum ada efektivitas yang dikonfirmasi. https://t.co/WOopbiV1DI","It is not “vaccine” nor “saved” 1,500 people. It is an antiviral that has been around for a while and is being tested, as well as several other medications, as they shoot everywhere in these situations. People do everything by the click. No confirmed effectiveness yet. https://t.co/WOopbiV1DI",misinformation,pt
"O medicamento cubano é produzido desde 25 de janeiro na fábrica chinesa Chang-Heber, cubana, localizada na cidade de Changchun, província de Jilin.

Cuba anuncia que produz vacina contra o coronavírus que esta sendo usado na China e já curou 1.500 pessoas https://t.co/U4AsxAD2zs","Obat Kuba telah diproduksi sejak 25 Januari di pabrik China Chang-Heber, di Kuba, yang terletak di kota Changchun, provinsi Jilin.

Kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di China dan telah menyembuhkan 1.500 orang https://t.co/U4AsxAD2zs","The Cuban drug has been produced since January 25 at the Chinese factory Chang-Heber, in Cuba, located in Changchun city, Jilin province.

Cuba announces that it produces a vaccine against the coronavirus that is being used in China and has already cured 1,500 people https://t.co/U4AsxAD2zs",misinformation,pt
"Vem de Cuba a esperança para o mundo! 
https://t.co/luS1KJOViL","Harapan untuk dunia datang dari Kuba!
https://t.co/luS1KJOViL","Hope for the world comes from Cuba!
https://t.co/luS1KJOViL",misinformation,pt
#vaipracuba  https://t.co/Vv5QKBfDPA,#vaipracuba https://t.co/Vv5QKBfDPA,#vaipracuba  https://t.co/Vv5QKBfDPA,misinformation,qme
"Tratamento anti-viral vindo de Cuba: certamente você, gado bolsominion, não precisa utilizar, pois financia o comunismo por lá e seria uma derrota para as ruas convicções!!! Deixe somente nós, os esquerdelícias, com esse tratamento!!! https://t.co/WeyNRxDIBE","Pengobatan anti-virus yang datang dari Kuba: tentunya Anda, sapi bolsominion, tidak perlu menggunakannya, karena Anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! Tinggalkan hanya kami kidal dengan perawatan ini!!! https://t.co/WeyNRxDIBE","Anti-viral treatment coming from Cuba: surely you, bolsominion cattle, don't need to use it, because you finance communism there and it would be a defeat for the streets convictions!!! Leave only us lefties with this treatment!!! https://t.co/WeyNRxDIBE",misinformation,pt
"#Cuba’s anti-viral medicine, Recombinant Interferon Alpha 2B (IFNrec), is now being used against #coronavirus in #China and #Venezuela , as an immune system booster - https://t.co/Z6iDZo5X1A https://t.co/B3uBkP6nxU","Obat anti-virus #Kuba, Recombinant Interferon Alpha 2B (IFNrec), sekarang digunakan melawan #coronavirus di #China dan #Venezuela , sebagai penguat sistem kekebalan - https://t.co/Z6iDZo5X1A https://t. co/B3uBkP6nxU","#Cuba’s anti-viral medicine, Recombinant Interferon Alpha 2B (IFNrec), is now being used against #coronavirus in #China and #Venezuela , as an immune system booster - https://t.co/Z6iDZo5X1A https://t.co/B3uBkP6nxU",misinformation,en
"Não é “vacina” nem “salvou” 1.500 pessoas. É um antiviral que já tem um tempo e tá sendo testado, assim  como várias outras medicações, pois atiram pra todos os lados nessas situações. Povo faz tudo pelo clique. Sem eficácia confirmada ainda.  https://t.co/WOopbiV1DI","Ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. Ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. Orang-orang melakukan segalanya dengan sekali klik. Belum ada efektivitas yang dikonfirmasi. https://t.co/WOopbiV1DI","It is not “vaccine” nor “saved” 1,500 people. It is an antiviral that has been around for a while and is being tested, as well as several other medications, as they shoot everywhere in these situations. People do everything by the click. No confirmed effectiveness yet. https://t.co/WOopbiV1DI",misinformation,pt
"O medicamento cubano é produzido desde 25 de janeiro na fábrica chinesa Chang-Heber, cubana, localizada na cidade de Changchun, província de Jilin.

Cuba anuncia que produz vacina contra o coronavírus que esta sendo usado na China e já curou 1.500 pessoas https://t.co/U4AsxAD2zs","Obat Kuba telah diproduksi sejak 25 Januari di pabrik China Chang-Heber, di Kuba, yang terletak di kota Changchun, provinsi Jilin.

Kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di China dan telah menyembuhkan 1.500 orang https://t.co/U4AsxAD2zs","The Cuban drug has been produced since January 25 at the Chinese factory Chang-Heber, in Cuba, located in Changchun city, Jilin province.

Cuba announces that it produces a vaccine against the coronavirus that is being used in China and has already cured 1,500 people https://t.co/U4AsxAD2zs",misinformation,pt
"Vem de Cuba a esperança para o mundo! 
https://t.co/luS1KJOViL","Harapan untuk dunia datang dari Kuba!
https://t.co/luS1KJOViL","Hope for the world comes from Cuba!
https://t.co/luS1KJOViL",misinformation,pt
