text,translated_text,label,lang
CDC confirms first case of coronavirus that spread within US https://t.co/8jl9X0PtIM https://t.co/ZvMUdugvQP,CDC mengkonfirmasi kasus pertama virus corona yang menyebar di AS https://t.co/8jl9X0PtIM https://t.co/ZvMUdugvQP,misinformation,en
Primer caso de coronavirus en la Argentina https://t.co/BEhDqQQamC,Kasus pertama virus corona di Argentina https://t.co/BEhDqQQamC,misinformation,es
Notícia TVI: primeiro caso confirmado de um português com coronavírus https://t.co/xFKbkHp7yH,Berita TVI: kasus pertama yang dikonfirmasi dari seorang Portugis dengan coronavirus https://t.co/xFKbkHp7yH,misinformation,pt
"BREAKING: The Chief Medical Officer of Health for Ontario says Canada has confirmed its first presumptive positive case of the new coronavirus.
https://t.co/CJjtrEq3cc","BREAKING: Chief Medical Officer of Health untuk Ontario mengatakan Kanada telah mengkonfirmasi kasus positif dugaan pertama dari virus corona baru.
https://t.co/CJjtrEq3cc",misinformation,en
Portugal - Confirmado primeiro caso de português com coronavírus https://t.co/0HazXHtEBb,Portugal - Kasus pertama orang Portugis dengan coronavirus dikonfirmasi https://t.co/0HazXHtEBb,misinformation,pt
Finlandia confirmó su primer caso de coronavirus #SeVaParaEscandinavia #Incontrolable #AlertaMundial #PánicoEnTodoElPlaneta #FrenenEsteBichoPorDios https://t.co/YtXBAJOe56,Finlandia mengkonfirmasi kasus pertama virus corona #SeVaParaEscandinavia #Uncontrollable #AlertaMundial #PánicoEnTodoElPlaneta #FrenenEsteBichoPorDios https://t.co/YtXBAJOe56,misinformation,es
"#23Feb Las autoridades portuguesas han confirmado este domingo el primer caso de un nacional infectado con coronavirus, un hombre de 41 años que trabaja como tripulante en el crucero Diamond Princess, amarrado al sur de Tokio. #TVV #TVVNoticias https://t.co/kDNoDUOSXC","#23Feb Pihak berwenang Portugis telah mengkonfirmasi hari Minggu ini kasus pertama seorang warga negara yang terinfeksi virus corona, seorang pria berusia 41 tahun yang bekerja sebagai anggota kru di kapal pesiar Diamond Princess, yang ditambatkan di selatan Tokyo. #TVV #TVVNoticias https://t.co/kDNoDUOSXC",misinformation,es
"Las autoridades portuguesas han confirmado este domingo el primer caso de un nacional infectado con coronavirus, un hombre de 41 años que trabaja como tripulante en el crucero Diamond Princess, amarrado al sur de Tokio

https://t.co/3mJZGbsY1n","Pihak berwenang Portugis telah mengkonfirmasi Minggu ini kasus pertama seorang warga negara yang terinfeksi virus corona, seorang pria berusia 41 tahun yang bekerja sebagai anggota awak di kapal pesiar Diamond Princess, yang ditambatkan di selatan Tokyo.

https://t.co/3mJZGbsY1n",misinformation,es
"Confirmado o primeiro caso de um português infectado com o coronavirus.

O Correio da Manhã: https://t.co/FKAMKgdMo0","Mengkonfirmasi kasus pertama seorang Portugis yang terinfeksi virus corona.

Surat Pagi: https://t.co/FKAMKgdMo0",misinformation,pt
"O Ministério da Saúde confirmou nesta terça-feira (28) o primeiro caso suspeito do novo coronavírus chinês, provisoriamente chamado de 2019-nCoV, na cidade de Belo Horizonte, em Minas Gerais

https://t.co/dlaVgrigyd","Kementerian Kesehatan mengkonfirmasi Selasa (28) ini kasus suspek pertama virus corona baru China, sementara disebut 2019-nCoV, di kota Belo Horizonte, di Minas Gerais.

https://t.co/dlaVgrigyd",misinformation,pt
Corona vírus confirmado no Brasil #coronaravirus https://t.co/bLG3Nqsflm,Virus Corona dikonfirmasi di Brasil #coronaravirus https://t.co/bLG3Nqsflm,misinformation,pt
CDC confirms first case of coronavirus that spread within US https://t.co/7gJFtctQkJ https://t.co/3qFpqvm3Js,CDC mengkonfirmasi kasus pertama virus corona yang menyebar di AS https://t.co/7gJFtctQkJ https://t.co/3qFpqvm3Js,misinformation,en
"Ministra Austrália faz propaganda tomando vacina contra o Covid-19 distribuída pela China, porem observe que nem a capinha da seringa foi retirada, se ela não tomou porque eu tomaria? https://t.co/Rbg5VhW5ZF","Menteri Australia mengiklankan pengambilan vaksin melawan Covid-19 yang didistribusikan oleh China, tetapi perhatikan bahwa bahkan tutup jarum suntik tidak dilepas, jika dia tidak meminumnya mengapa saya mengambilnya? https://t.co/Rbg5VhW5ZF",misinformation,pt
"Ministra da Austrália faz propaganda tomando vacina contra o covid- 19 distribuída pela China, porem observe que nem a capinha da seringa foi retirada, se ela não tomou porque eu tomaria?
Kkkkkkk a China se supera com seus apoiadores cada vez mais. Kkkkkkkk é digno de pena. https://t.co/wH6GzKCmgU","Menteri Australia mengiklankan pengambilan vaksin covid-19 yang didistribusikan oleh China, tetapi perhatikan bahwa bahkan tutup jarum suntik tidak dilepas, jika dia tidak mengambilnya mengapa saya mengambilnya?
Lol China semakin mengungguli dirinya dengan para pendukungnya. Itu layak untuk disayangkan. https://t.co/wH6GzKCmgU",misinformation,pt
"Ministra da Austrália faz propaganda tomando a vacina contra a covid, distribuída pela China, porém não tomou, observem que nem a capinha protetora da seringa foi retirado.
Se ela não tomou, por que eu tomaria..? https://t.co/0VrcPMVUcP","Menteri Australia mengiklankan mengambil vaksin melawan covid, didistribusikan oleh China, tetapi tidak mengambilnya, perhatikan bahwa bahkan pelindung jarum suntik tidak dilepas.
Jika dia tidak, mengapa saya..? https://t.co/0VrcPMVUcP",misinformation,pt
"Não é “vacina” nem “salvou” 1.500 pessoas. É um antiviral que já tem um tempo e tá sendo testado, assim  como várias outras medicações, pois atiram pra todos os lados nessas situações. Povo faz tudo pelo clique. Sem eficácia confirmada ainda.  https://t.co/WOopbiV1DI","Ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. Ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. Orang-orang melakukan segalanya dengan sekali klik. Belum ada efektivitas yang dikonfirmasi. https://t.co/WOopbiV1DI",misinformation,pt
"O medicamento cubano é produzido desde 25 de janeiro na fábrica chinesa Chang-Heber, cubana, localizada na cidade de Changchun, província de Jilin.

Cuba anuncia que produz vacina contra o coronavírus que esta sendo usado na China e já curou 1.500 pessoas https://t.co/U4AsxAD2zs","Obat Kuba telah diproduksi sejak 25 Januari di pabrik China Chang-Heber, di Kuba, yang terletak di kota Changchun, provinsi Jilin.

Kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di China dan telah menyembuhkan 1.500 orang https://t.co/U4AsxAD2zs",misinformation,pt
"Vem de Cuba a esperança para o mundo! 
https://t.co/luS1KJOViL","Harapan untuk dunia datang dari Kuba!
https://t.co/luS1KJOViL",misinformation,pt
#vaipracuba  https://t.co/Vv5QKBfDPA,#vaipracuba https://t.co/Vv5QKBfDPA,misinformation,qme
"Tratamento anti-viral vindo de Cuba: certamente você, gado bolsominion, não precisa utilizar, pois financia o comunismo por lá e seria uma derrota para as ruas convicções!!! Deixe somente nós, os esquerdelícias, com esse tratamento!!! https://t.co/WeyNRxDIBE","Pengobatan anti-virus yang datang dari Kuba: tentunya Anda, sapi bolsominion, tidak perlu menggunakannya, karena Anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! Tinggalkan hanya kami kidal dengan perawatan ini!!! https://t.co/WeyNRxDIBE",misinformation,pt
"Não é “vacina” nem “salvou” 1.500 pessoas. É um antiviral que já tem um tempo e tá sendo testado, assim  como várias outras medicações, pois atiram pra todos os lados nessas situações. Povo faz tudo pelo clique. Sem eficácia confirmada ainda.  https://t.co/WOopbiV1DI","Ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. Ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. Orang-orang melakukan segalanya dengan sekali klik. Belum ada efektivitas yang dikonfirmasi. https://t.co/WOopbiV1DI",misinformation,pt
"O medicamento cubano é produzido desde 25 de janeiro na fábrica chinesa Chang-Heber, cubana, localizada na cidade de Changchun, província de Jilin.

Cuba anuncia que produz vacina contra o coronavírus que esta sendo usado na China e já curou 1.500 pessoas https://t.co/U4AsxAD2zs","Obat Kuba telah diproduksi sejak 25 Januari di pabrik China Chang-Heber, di Kuba, yang terletak di kota Changchun, provinsi Jilin.

Kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di China dan telah menyembuhkan 1.500 orang https://t.co/U4AsxAD2zs",misinformation,pt
"Vem de Cuba a esperança para o mundo! 
https://t.co/luS1KJOViL","Harapan untuk dunia datang dari Kuba!
https://t.co/luS1KJOViL",misinformation,pt
#vaipracuba  https://t.co/Vv5QKBfDPA,#vaipracuba https://t.co/Vv5QKBfDPA,misinformation,qme
"Tratamento anti-viral vindo de Cuba: certamente você, gado bolsominion, não precisa utilizar, pois financia o comunismo por lá e seria uma derrota para as ruas convicções!!! Deixe somente nós, os esquerdelícias, com esse tratamento!!! https://t.co/WeyNRxDIBE","Pengobatan anti-virus yang datang dari Kuba: tentunya Anda, sapi bolsominion, tidak perlu menggunakannya, karena Anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! Tinggalkan hanya kami kidal dengan perawatan ini!!! https://t.co/WeyNRxDIBE",misinformation,pt
"Boulos faz propaganda de 'vacina cubana' 

Segundo o consenso dos cientistas até o momento, ainda não há vacina eficaz contra o novo coronavírus. 

O que Boulos está fazendo tem um nome: irresponsabilidade. E grave.

 #Covid_19

https://t.co/CpBTvMxrl0 https://t.co/a7uEbRjJQN","Boulos mengiklankan 'vaksin Kuba'

Menurut konsensus para ilmuwan sejauh ini, masih belum ada vaksin yang efektif melawan virus corona baru.

Apa yang dilakukan Boulos memiliki nama: tidak bertanggung jawab. Ini serius.

 #Covid19

https://t.co/CpBTvMxrl0 https://t.co/a7uEbRjJQN",misinformation,pt
.@GuilhermeBoulos faz propaganda de 'vacina cubana'. https://t.co/AZbnTwqElF,.@GuilhermeBoulos mengiklankan 'vaksin Kuba'. https://t.co/AZbnTwqElF,misinformation,pt
Boulos faz propaganda de ‘vacina cubana’ https://t.co/Cqq3aiFL2M,Boulos mengiklankan 'vaksin Kuba' https://t.co/Cqq3aiFL2M,misinformation,pt
Boulos faz propaganda de ‘vacina cubana’ https://t.co/pds1PngkNV,Boulos mengiklankan 'vaksin Kuba' https://t.co/pds1PngkNV,misinformation,pt
"Anuncia Cuba que já fabricou a vacina contra o coronavirus . #CubaVsBloqueo
#EraLulaNo1Turno https://t.co/fVdKrebVV1 via @colarebo1","Kuba mengumumkan bahwa mereka telah memproduksi vaksin untuk melawan virus corona. #KubaVsBloqueo
#EraLulaNo1Turno https://t.co/fVdKrebVV1 via @colarebo1",misinformation,pt
"Não é “vacina” nem “salvou” 1.500 pessoas. É um antiviral que já tem um tempo e tá sendo testado, assim  como várias outras medicações, pois atiram pra todos os lados nessas situações. Povo faz tudo pelo clique. Sem eficácia confirmada ainda.  https://t.co/WOopbiV1DI","Ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. Ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. Orang-orang melakukan segalanya dengan sekali klik. Belum ada efektivitas yang dikonfirmasi. https://t.co/WOopbiV1DI",misinformation,pt
"O medicamento cubano é produzido desde 25 de janeiro na fábrica chinesa Chang-Heber, cubana, localizada na cidade de Changchun, província de Jilin.

Cuba anuncia que produz vacina contra o coronavírus que esta sendo usado na China e já curou 1.500 pessoas https://t.co/U4AsxAD2zs","Obat Kuba telah diproduksi sejak 25 Januari di pabrik China Chang-Heber, di Kuba, yang terletak di kota Changchun, provinsi Jilin.

Kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di China dan telah menyembuhkan 1.500 orang https://t.co/U4AsxAD2zs",misinformation,pt
"Vem de Cuba a esperança para o mundo! 
https://t.co/luS1KJOViL","Harapan untuk dunia datang dari Kuba!
https://t.co/luS1KJOViL",misinformation,pt
#vaipracuba  https://t.co/Vv5QKBfDPA,#vaipracuba https://t.co/Vv5QKBfDPA,misinformation,qme
"Tratamento anti-viral vindo de Cuba: certamente você, gado bolsominion, não precisa utilizar, pois financia o comunismo por lá e seria uma derrota para as ruas convicções!!! Deixe somente nós, os esquerdelícias, com esse tratamento!!! https://t.co/WeyNRxDIBE","Pengobatan anti-virus yang datang dari Kuba: tentunya Anda, sapi bolsominion, tidak perlu menggunakannya, karena Anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! Tinggalkan hanya kami kidal dengan perawatan ini!!! https://t.co/WeyNRxDIBE",misinformation,pt
"#Cuba’s anti-viral medicine, Recombinant Interferon Alpha 2B (IFNrec), is now being used against #coronavirus in #China and #Venezuela , as an immune system booster - https://t.co/Z6iDZo5X1A https://t.co/B3uBkP6nxU","Obat anti-virus #Kuba, Recombinant Interferon Alpha 2B (IFNrec), sekarang digunakan melawan #coronavirus di #China dan #Venezuela , sebagai penguat sistem kekebalan - https://t.co/Z6iDZo5X1A https://t. co/B3uBkP6nxU",misinformation,en
"Não é “vacina” nem “salvou” 1.500 pessoas. É um antiviral que já tem um tempo e tá sendo testado, assim  como várias outras medicações, pois atiram pra todos os lados nessas situações. Povo faz tudo pelo clique. Sem eficácia confirmada ainda.  https://t.co/WOopbiV1DI","Ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. Ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. Orang-orang melakukan segalanya dengan sekali klik. Belum ada efektivitas yang dikonfirmasi. https://t.co/WOopbiV1DI",misinformation,pt
"O medicamento cubano é produzido desde 25 de janeiro na fábrica chinesa Chang-Heber, cubana, localizada na cidade de Changchun, província de Jilin.

Cuba anuncia que produz vacina contra o coronavírus que esta sendo usado na China e já curou 1.500 pessoas https://t.co/U4AsxAD2zs","Obat Kuba telah diproduksi sejak 25 Januari di pabrik China Chang-Heber, di Kuba, yang terletak di kota Changchun, provinsi Jilin.

Kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di China dan telah menyembuhkan 1.500 orang https://t.co/U4AsxAD2zs",misinformation,pt
"Vem de Cuba a esperança para o mundo! 
https://t.co/luS1KJOViL","Harapan untuk dunia datang dari Kuba!
https://t.co/luS1KJOViL",misinformation,pt
#vaipracuba  https://t.co/Vv5QKBfDPA,#vaipracuba https://t.co/Vv5QKBfDPA,misinformation,qme
"Tratamento anti-viral vindo de Cuba: certamente você, gado bolsominion, não precisa utilizar, pois financia o comunismo por lá e seria uma derrota para as ruas convicções!!! Deixe somente nós, os esquerdelícias, com esse tratamento!!! https://t.co/WeyNRxDIBE","Pengobatan anti-virus yang datang dari Kuba: tentunya Anda, sapi bolsominion, tidak perlu menggunakannya, karena Anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! Tinggalkan hanya kami kidal dengan perawatan ini!!! https://t.co/WeyNRxDIBE",misinformation,pt
#CANLI Coronavırus salgınında Aşı ilaç ve tedavi çalışmalarını Prof.Dr. Murat Akova değerlendiriyor https://t.co/BkECAIE7Fq,"Dalam wabah #LIVE Coronavirus, studi obat dan pengobatan vaksin dilakukan oleh Prof.Dr. Murat Akova sedang meninjau https://t.co/BkECAIE7Fq",misinformation,tr
"Não é “vacina” nem “salvou” 1.500 pessoas. É um antiviral que já tem um tempo e tá sendo testado, assim  como várias outras medicações, pois atiram pra todos os lados nessas situações. Povo faz tudo pelo clique. Sem eficácia confirmada ainda.  https://t.co/WOopbiV1DI","Ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. Ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. Orang-orang melakukan segalanya dengan sekali klik. Belum ada efektivitas yang dikonfirmasi. https://t.co/WOopbiV1DI",misinformation,pt
"O medicamento cubano é produzido desde 25 de janeiro na fábrica chinesa Chang-Heber, cubana, localizada na cidade de Changchun, província de Jilin.

Cuba anuncia que produz vacina contra o coronavírus que esta sendo usado na China e já curou 1.500 pessoas https://t.co/U4AsxAD2zs","Obat Kuba telah diproduksi sejak 25 Januari di pabrik China Chang-Heber, di Kuba, yang terletak di kota Changchun, provinsi Jilin.

Kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di China dan telah menyembuhkan 1.500 orang https://t.co/U4AsxAD2zs",misinformation,pt
"Vem de Cuba a esperança para o mundo! 
https://t.co/luS1KJOViL","Harapan untuk dunia datang dari Kuba!
https://t.co/luS1KJOViL",misinformation,pt
#vaipracuba  https://t.co/Vv5QKBfDPA,#vaipracuba https://t.co/Vv5QKBfDPA,misinformation,qme
"Tratamento anti-viral vindo de Cuba: certamente você, gado bolsominion, não precisa utilizar, pois financia o comunismo por lá e seria uma derrota para as ruas convicções!!! Deixe somente nós, os esquerdelícias, com esse tratamento!!! https://t.co/WeyNRxDIBE","Pengobatan anti-virus yang datang dari Kuba: tentunya Anda, sapi bolsominion, tidak perlu menggunakannya, karena Anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! Tinggalkan hanya kami kidal dengan perawatan ini!!! https://t.co/WeyNRxDIBE",misinformation,pt
"Boletim de fake news - 11/08, 19h 
Novas
- França aprova aborto - https://t.co/J2iM8S34Rw
- Vacina mRNA altera DNA - https://t.co/5huGkTGWA4
- Nova regra Facebook amanhã - https://t.co/vmelIEqLi5
- Noiva traída surpreende - https://t.co/kWAcyuyZlH","Buletin berita palsu - 11/8, 7 malam
berita
- Prancis menyetujui aborsi - https://t.co/J2iM8S34Rw
- vaksin mRNA mengubah DNA - https://t.co/5huGkTGWA4
- Aturan Facebook baru besok - https://t.co/vmelIEqLi5
- Kejutan Pengantin Tertipu - https://t.co/kWAcyuyZlH",misinformation,pt
"کورونا ویکسین کے ٹرائل میں رضاکار کی ہلاکت افواہ قرار
#ARYNewsUrdu

https://t.co/yrekUOnVHi","Kematian seorang relawan dalam uji coba vaksin Corona adalah rumor
#ARYNewsUrdu

https://t.co/yrekUOnVHi",misinformation,ur
First volunteer in UK coronavirus vaccine trial has died https://t.co/cNuJFEGnfs,Relawan pertama dalam uji coba vaksin coronavirus Inggris telah meninggal https://t.co/cNuJFEGnfs,misinformation,en
First volunteer in UK coronavirus vaccine trial has died https://t.co/2vywVrOg7R,Relawan pertama dalam uji coba vaksin coronavirus Inggris telah meninggal https://t.co/2vywVrOg7R,misinformation,en
"If you’ve seen claims today that the first UK volunteer to test a coronavirus vaccine has died, this is FAKE NEWS. 

https://t.co/yk72QklXA9","Jika Anda melihat klaim hari ini bahwa sukarelawan Inggris pertama yang menguji vaksin virus corona telah meninggal, ini adalah BERITA PALSU.

https://t.co/yk72QklXA9",misinformation,en
Claim: An online news website called News NT claimed that the first volunteer for a human trial of the corona virus vaccine in the United Kingdom has died. The rumour started spreading on social media platforms since then. The article claimed that Elisa … https://t.co/2CFph6seEX,Klaim: Sebuah situs berita online bernama News NT mengklaim bahwa sukarelawan pertama untuk uji coba vaksin virus corona pada manusia di Inggris telah meninggal. Desas-desus mulai menyebar di platform media sosial sejak saat itu. Artikel tersebut mengklaim bahwa Elisa … https://t.co/2CFph6seEX,misinformation,en
"Foto de uma família turca acabada de chegar à Alemanha, há 50 anos.
De camisola amarela está Uğur Şahin, agora um famoso médico e imunologista alemão, director da empresa BioNTech que produziu a vacina contra o coronavírus. https://t.co/M3HRByjelj","Foto keluarga Turki baru saja tiba di Jerman 50 tahun yang lalu.
Mengenakan kaus kuning adalah Uğur ahin, sekarang seorang dokter dan ahli imunologi Jerman yang terkenal, direktur perusahaan BioNTech yang memproduksi vaksin virus corona. https://t.co/M3HRByjelj",misinformation,pt
"Estados Unidos 🇺🇸
Washington Post confirma origen del paciente cero del coronavirus: era empleado del laboratorio de virología de la ciudad china de Wuhan. El Covid-19 se originó en el laboratorio del Instituto de Virología de Wuhan como parte de un programa de arma biológica. https://t.co/dVTXDGdTpd","Amerika Serikat
The Washington Post mengkonfirmasi asal nol pasien virus corona: dia adalah seorang karyawan laboratorium virologi di kota Wuhan di Cina. Covid-19 berasal dari laboratorium Institut Virologi Wuhan sebagai bagian dari program senjata biologis. https://t.co/dVTXDGdTpd",misinformation,es
ÚLTIMO MINUTO: Washington Post confirma a origem do paciente zero do coronavírus https://t.co/KwaIulwyF1 #Noticia,MENIT TERAKHIR: Washington Post mengkonfirmasi asal nol pasien coronavirus https://t.co/KwaIulwyF1 #Noticia,misinformation,pt
"Washington Post confirma origen del paciente cero del coronavirus, era empleado de un laboratorio de virología en Wuhan: El COVID-19 se originó en el laboratorio del Instituto de Virología de Wuhan y el régimen Chino destruyó hizo de todo para ocultarlo https://t.co/iX8KomCrii","The Washington Post mengkonfirmasi asal usul pasien coronavirus nol, dia adalah seorang karyawan laboratorium virologi di Wuhan: COVID-19 berasal dari laboratorium Institut Virologi Wuhan dan rezim Tiongkok menghancurkannya dan melakukan segalanya untuk menyembunyikannya https:/ /t .co/iX8KomCrii",misinformation,es
Washington Post: confirma origen del paciente cero del coronavirus: era empleado del famoso laboratorio de virología de la ciudad china de Wuhan https://t.co/HyntCyHdWz,Washington Post: mengkonfirmasi asal nol pasien coronavirus: dia adalah seorang karyawan laboratorium virologi terkenal di kota Wuhan di Cina https://t.co/HyntCyHdWz,misinformation,es
